,Player,Season,Team,S/C,GP,GS,W,L,T,OT,SA,Svs,GA,Sv%,GAA,TOI,SO,G,A,P,PIM,Birth Year,S/P,Nationality,Draft Round,HOF,Age
740,Antero Niittymaki,20052006,PHI,L,46,42,23,15,--,6,"1,266","1,133",133,0.895,2.97,2690:05,2,0,1,1,0,1980,--,FIN,6,N,25
2063,Antero Niittymaki,20062007,PHI,L,52,46,9,29,--,9,"1,567","1,401",166,0.894,3.38,2942:50,0,0,0,0,2,1980,--,FIN,6,N,26
1699,Antero Niittymaki,20072008,PHI,L,28,23,12,9,--,2,739,670,69,0.907,2.91,1424:01,1,0,0,0,0,1980,--,FIN,6,N,27
1394,Antero Niittymaki,20082009,PHI,L,32,29,15,8,--,6,947,864,83,0.912,2.76,1804:52,1,0,1,1,2,1980,--,FIN,6,N,28
879,Antero Niittymaki,20092010,TBL,L,49,46,21,18,--,5,"1,388","1,261",127,0.909,2.87,2657:11,1,0,1,1,0,1980,--,FIN,6,N,29
1724,Antero Niittymaki,20102011,SJS,L,24,22,12,7,--,3,615,551,64,0.896,2.71,1414:28,0,0,0,0,2,1980,--,FIN,6,N,30
2988,Anthony Stolarz,20162017,PHI,L,7,4,2,1,--,1,181,168,13,0.928,2.07,376:05,1,0,0,0,0,1994,NJ,USA,2,N,22
2675,Anthony Stolarz,20182019,"PHI,EDM",L,18,12,4,5,--,3,503,453,50,0.901,3.45,868:25,1,0,0,0,0,1994,NJ,USA,2,N,24
3573,Anthony Stolarz,20192020,ANA,L,1,1,0,1,--,0,36,34,2,0.944,2.04,58:52,0,0,0,0,0,1994,NJ,USA,2,N,25
2629,Anthony Stolarz,20202021,ANA,L,8,7,4,3,--,0,230,213,17,0.926,2.2,464:18,1,0,1,1,0,1994,NJ,USA,2,N,26
3231,Antoine Bibeau,20162017,TOR,L,2,2,1,1,--,0,55,51,4,0.927,1.99,120:39,0,0,0,0,0,1994,QC,CAN,6,N,22
3355,Antoine Bibeau,20192020,COL,L,2,1,1,0,--,0,42,37,5,0.881,3.27,91:45,0,0,0,0,0,1994,QC,CAN,6,N,25
3768,Anton Forsberg,20142015,CBJ,L,5,5,0,4,--,0,149,129,20,0.866,4.69,255:43,0,0,0,0,0,1992,--,SWE,7,N,22
3269,Anton Forsberg,20152016,CBJ,L,4,3,1,3,--,0,97,88,9,0.907,3.03,178:09,0,0,0,0,0,1992,--,SWE,7,N,23
3827,Anton Forsberg,20162017,CBJ,L,1,1,0,1,--,0,27,23,4,0.852,4.1,58:35,0,0,0,0,0,1992,--,SWE,7,N,24
1892,Anton Forsberg,20172018,CHI,L,35,30,10,16,--,4,921,836,85,0.908,2.97,1714:47,0,0,1,1,0,1992,--,SWE,7,N,25
3297,Anton Forsberg,20192020,CAR,L,3,3,1,1,--,0,78,70,8,0.897,3.35,143:09,0,0,0,0,0,1992,--,SWE,7,N,27
2826,Anton Forsberg,20202021,OTT,L,8,8,3,4,--,1,264,240,24,0.909,3.21,448:33,0,0,0,0,0,1992,--,SWE,7,N,28
2965,Anton Khudobin,20092010,MIN,L,2,1,2,0,--,0,48,47,1,0.979,0.86,69:27,0,0,0,0,0,1986,--,RUS,7,N,23
2981,Anton Khudobin,20102011,MIN,L,4,3,2,1,--,0,86,81,5,0.942,1.59,188:44,1,0,0,0,0,1986,--,RUS,7,N,24
3195,Anton Khudobin,20112012,BOS,L,1,1,1,0,--,0,45,44,1,0.978,1.0,60:00,0,0,0,0,0,1986,--,RUS,7,N,25
1998,Anton Khudobin,20122013,BOS,L,14,14,9,4,--,1,388,357,31,0.92,2.32,803:00,1,0,0,0,4,1986,--,RUS,7,N,26
1020,Anton Khudobin,20132014,CAR,L,36,34,19,14,--,1,"1,076",996,80,0.926,2.3,2084:18,1,0,0,0,0,1986,--,RUS,7,N,27
2178,Anton Khudobin,20142015,CAR,L,34,32,8,17,--,6,874,787,87,0.9,2.72,1920:21,1,0,0,0,0,1986,--,RUS,7,N,28
2827,Anton Khudobin,20152016,ANA,L,9,7,3,3,--,0,175,159,16,0.909,2.69,356:20,1,0,0,0,0,1986,--,RUS,7,N,29
2295,Anton Khudobin,20162017,BOS,L,16,14,7,6,--,1,405,366,39,0.904,2.64,884:47,0,0,1,1,2,1986,--,RUS,7,N,30
1299,Anton Khudobin,20172018,BOS,L,31,29,16,6,--,7,876,800,76,0.913,2.56,1780:43,1,0,2,2,2,1986,--,RUS,7,N,31
1278,Anton Khudobin,20182019,DAL,L,41,37,16,17,--,5,"1,232","1,137",95,0.923,2.57,2219:30,2,0,0,0,2,1986,--,RUS,7,N,32
1274,Anton Khudobin,20192020,DAL,L,30,26,16,8,--,4,882,820,62,0.93,2.22,1677:29,0,0,3,3,4,1986,--,RUS,7,N,33
1702,Anton Khudobin,20202021,DAL,L,32,32,12,11,--,7,799,723,76,0.905,2.54,1794:37,3,0,2,2,2,1986,--,RUS,7,N,34
3402,Antti Niemi,20082009,CHI,L,3,2,1,1,--,1,59,51,8,0.864,3.4,141:19,0,0,0,0,0,1983,--,FIN,--,N,25
541,Antti Niemi,20092010,CHI,L,39,35,26,7,--,4,936,854,82,0.912,2.25,2190:55,7,0,1,1,0,1983,--,FIN,--,N,26
156,Antti Niemi,20102011,SJS,L,60,60,35,18,--,6,"1,741","1,601",140,0.92,2.38,3523:54,6,0,1,1,2,1983,--,FIN,--,N,27
191,Antti Niemi,20112012,SJS,L,68,68,34,22,--,9,"1,865","1,706",159,0.915,2.42,3935:46,6,0,0,0,2,1983,--,FIN,--,N,28
640,Antti Niemi,20122013,SJS,L,43,43,24,12,--,6,"1,220","1,127",93,0.924,2.16,2580:46,4,0,1,1,2,1983,--,FIN,--,N,29
65,Antti Niemi,20132014,SJS,L,64,64,39,17,--,7,"1,705","1,556",149,0.913,2.39,3740:17,4,0,2,2,0,1983,--,FIN,--,N,30
304,Antti Niemi,20142015,SJS,L,61,61,31,23,--,7,"1,811","1,656",155,0.914,2.59,3587:54,5,0,3,3,0,1983,--,FIN,--,N,31
603,Antti Niemi,20152016,DAL,L,48,43,25,13,--,7,"1,246","1,128",118,0.905,2.67,2654:23,3,0,2,2,2,1983,--,FIN,--,N,32
1735,Antti Niemi,20162017,DAL,L,37,30,12,12,--,4,880,785,95,0.892,3.3,1728:30,0,0,0,0,0,1983,--,FIN,--,N,33
2278,Antti Niemi,20172018,"PIT,FLA,MTL",L,24,20,7,9,--,4,710,647,63,0.911,3.12,1213:06,1,0,1,1,0,1983,--,FIN,--,N,34
2207,Antti Niemi,20182019,MTL,L,17,17,8,6,--,2,539,478,61,0.887,3.78,968:48,0,0,1,1,0,1983,--,FIN,--,N,35
1601,Antti Raanta,20132014,CHI,L,25,22,13,5,--,4,610,547,63,0.897,2.71,1396:40,1,0,1,1,0,1989,--,FIN,--,N,24
2259,Antti Raanta,20142015,CHI,L,14,12,7,4,--,1,389,364,25,0.936,1.89,792:11,2,0,0,0,0,1989,--,FIN,--,N,25
1775,Antti Raanta,20152016,NYR,L,25,18,11,6,--,2,530,487,43,0.919,2.24,1150:21,1,0,0,0,0,1989,--,FIN,--,N,26
1280,Antti Raanta,20162017,NYR,L,30,26,16,8,--,2,782,721,61,0.922,2.26,1617:20,4,0,1,1,0,1989,--,FIN,--,N,27
846,Antti Raanta,20172018,ARI,L,47,46,21,17,--,6,"1,388","1,291",97,0.93,2.24,2599:07,3,0,0,0,0,1989,--,FIN,--,N,28
2516,Antti Raanta,20182019,ARI,L,12,12,5,6,--,0,351,318,33,0.906,2.88,687:06,0,0,1,1,0,1989,--,FIN,--,N,29
1377,Antti Raanta,20192020,ARI,L,33,32,15,14,--,3,"1,014",934,80,0.921,2.63,1822:54,2,0,0,0,2,1989,--,FIN,--,N,30
2519,Antti Raanta,20202021,ARI,L,12,11,5,5,--,2,401,363,38,0.905,3.36,678:50,0,0,0,0,0,1989,--,FIN,--,N,31
3129,Arturs Irbe,19911992,SJS,L,13,11,2,6,3,--,365,317,48,0.868,4.46,645:02,0,0,1,1,0,1967,--,LVA,10,N,24
2328,Arturs Irbe,19921993,SJS,L,36,34,7,26,0,--,"1,250","1,108",142,0.886,4.11,2073:43,1,0,0,0,10,1967,--,LVA,10,N,25
368,Arturs Irbe,19931994,SJS,L,74,73,30,28,16,--,"2,064","1,855",209,0.899,2.84,4411:38,3,0,2,2,16,1967,--,LVA,10,N,26
1518,Arturs Irbe,19941995,SJS,L,38,35,14,19,3,--,"1,056",945,111,0.895,3.26,2042:31,4,0,0,0,4,1967,--,LVA,10,N,27
2757,Arturs Irbe,19951996,SJS,L,22,20,4,12,4,--,607,522,85,0.86,4.59,1111:47,0,0,0,0,4,1967,--,LVA,10,N,28
1240,Arturs Irbe,19961997,DAL,L,35,31,17,12,3,--,825,737,88,0.893,2.69,1965:01,3,0,2,2,8,1967,--,LVA,10,N,29
1489,Arturs Irbe,19971998,VAN,L,41,32,14,11,6,--,982,891,91,0.907,2.73,1998:49,2,0,0,0,2,1967,--,LVA,10,N,30
460,Arturs Irbe,19981999,CAR,L,62,61,27,20,12,--,"1,753","1,618",135,0.923,2.22,3643:21,6,0,0,0,10,1967,--,LVA,10,N,31
204,Arturs Irbe,19992000,CAR,L,75,75,34,28,9,--,"1,858","1,683",175,0.906,2.42,4344:55,5,0,1,1,14,1967,--,LVA,10,N,32
114,Arturs Irbe,20002001,CAR,L,77,76,37,29,9,--,"1,947","1,767",180,0.908,2.45,4405:39,6,0,2,2,6,1967,--,LVA,10,N,33
966,Arturs Irbe,20012002,CAR,L,51,49,20,19,11,--,"1,282","1,156",126,0.902,2.54,2974:09,3,0,1,1,10,1967,--,LVA,10,N,34
2338,Arturs Irbe,20022003,CAR,L,34,31,7,24,2,--,816,716,100,0.877,3.18,1883:59,0,0,0,0,4,1967,--,LVA,10,N,35
2537,Arturs Irbe,20032004,CAR,L,10,9,5,2,1,--,228,205,23,0.899,2.45,564:06,0,0,0,0,2,1967,--,LVA,10,N,36
3935,Artyom Zagidulin,20202021,CGY,L,1,0,0,0,--,0,11,9,2,0.818,4.25,28:13,0,0,0,0,0,1995,--,RUS,--,N,25
3099,Barry Brust,20062007,LAK,L,11,7,2,4,--,1,245,215,30,0.878,3.7,486:23,0,0,0,0,0,1983,MB,CAN,3,N,23
3317,Ben Bishop,20082009,STL,L,6,3,1,1,--,1,112,100,12,0.893,2.94,244:59,0,0,0,0,0,1986,CO,USA,3,N,22
2853,Ben Bishop,20102011,STL,L,7,5,3,4,--,0,168,151,17,0.899,2.77,368:49,1,0,0,0,0,1986,CO,USA,3,N,24
2823,Ben Bishop,20112012,OTT,L,10,9,3,3,--,2,243,221,22,0.909,2.48,531:39,0,0,0,0,2,1986,CO,USA,3,N,25
1774,Ben Bishop,20122013,"OTT,TBL",L,22,21,11,9,--,1,701,645,56,0.92,2.67,1260:38,2,0,0,0,2,1986,CO,USA,3,N,26
94,Ben Bishop,20132014,TBL,L,63,63,37,14,--,7,"1,758","1,625",133,0.924,2.23,3586:21,5,0,2,2,4,1986,CO,USA,3,N,27
48,Ben Bishop,20142015,TBL,L,62,60,40,13,--,5,"1,620","1,484",136,0.916,2.32,3519:00,4,0,4,4,4,1986,CO,USA,3,N,28
143,Ben Bishop,20152016,TBL,L,61,60,35,21,--,4,"1,672","1,549",123,0.926,2.06,3584:38,6,0,1,1,4,1986,CO,USA,3,N,29
1135,Ben Bishop,20162017,"TBL,LAK",L,39,37,18,15,--,5,"1,040",946,94,0.91,2.54,2222:37,1,0,0,0,10,1986,CO,USA,3,N,30
531,Ben Bishop,20172018,DAL,L,53,51,26,17,--,5,"1,437","1,317",120,0.916,2.49,2886:50,5,0,1,1,4,1986,CO,USA,3,N,31
456,Ben Bishop,20182019,DAL,L,46,45,27,15,--,2,"1,323","1,236",87,0.934,1.98,2637:18,7,0,2,2,2,1986,CO,USA,3,N,32
858,Ben Bishop,20192020,DAL,L,44,43,21,16,--,4,"1,286","1,183",103,0.92,2.5,2473:49,2,0,2,2,2,1986,CO,USA,3,N,33
2673,Ben Scrivens,20112012,TOR,L,12,11,4,5,--,2,359,324,35,0.903,3.13,671:37,0,0,0,0,4,1986,AB,CAN,--,N,25
2273,Ben Scrivens,20122013,TOR,L,20,17,7,9,--,0,542,496,46,0.915,2.69,1024:51,2,0,0,0,6,1986,AB,CAN,--,N,26
1279,Ben Scrivens,20132014,"LAK,EDM",L,40,35,16,16,--,4,"1,205","1,111",94,0.922,2.55,2210:07,4,0,1,1,6,1986,AB,CAN,--,N,27
1437,Ben Scrivens,20142015,EDM,L,57,53,15,26,--,11,"1,542","1,372",170,0.89,3.16,3227:34,1,0,1,1,4,1986,AB,CAN,--,N,28
2515,Ben Scrivens,20152016,MTL,L,15,14,5,8,--,0,447,405,42,0.906,3.07,821:58,0,0,0,0,0,1986,AB,CAN,--,N,29
1718,Bernie Parent,19651966,BOS,L,39,36,12,20,3,--,"1,260","1,132",128,0.898,3.69,2081:22,1,0,0,0,4,1945,QC,CAN,--,Y,20
2697,Bernie Parent,19661967,BOS,L,18,16,4,12,2,--,571,509,62,0.891,3.65,1019:55,0,0,0,0,2,1945,QC,CAN,--,Y,21
1373,Bernie Parent,19671968,PHI,L,38,37,15,17,5,--,"1,249","1,156",93,0.926,2.49,2243:51,4,0,1,1,23,1945,QC,CAN,--,Y,22
1193,Bernie Parent,19681969,PHI,L,58,56,17,23,16,--,"2,009","1,858",151,0.925,2.7,3357:13,1,0,0,0,8,1945,QC,CAN,--,Y,23
1553,Bernie Parent,19691970,PHI,L,62,62,13,29,20,--,"2,159","1,988",171,0.921,2.8,3668:19,3,0,3,3,14,1945,QC,CAN,--,Y,24
1298,Bernie Parent,19701971,"PHI,TOR",L,48,43,16,19,9,--,"1,373","1,254",119,0.913,2.73,2617:23,2,0,2,2,5,1945,QC,CAN,--,Y,25
1203,Bernie Parent,19711972,TOR,L,47,44,17,18,9,--,"1,363","1,247",116,0.915,2.57,2712:22,3,0,1,1,6,1945,QC,CAN,--,Y,26
2,Bernie Parent,19731974,PHI,L,73,73,47,13,12,--,"2,006","1,870",136,0.932,1.89,4307:25,12,0,3,3,24,1945,QC,CAN,--,Y,28
12,Bernie Parent,19741975,PHI,L,68,68,44,14,9,--,"1,674","1,537",137,0.918,2.04,4034:37,12,0,0,0,16,1945,QC,CAN,--,Y,29
2388,Bernie Parent,19751976,PHI,L,11,10,6,2,2,--,259,235,24,0.907,2.35,613:38,0,0,0,0,2,1945,QC,CAN,--,Y,30
175,Bernie Parent,19761977,PHI,L,61,61,35,13,12,--,"1,582","1,423",159,0.899,2.71,3519:36,5,0,0,0,0,1945,QC,CAN,--,Y,31
389,Bernie Parent,19771978,PHI,L,49,48,29,6,13,--,"1,223","1,115",108,0.912,2.22,2918:34,7,0,0,0,4,1945,QC,CAN,--,Y,32
1336,Bernie Parent,19781979,PHI,L,36,36,16,12,7,--,834,745,89,0.893,2.71,1970:45,4,0,2,2,8,1945,QC,CAN,--,Y,33
2570,Bernie Wolfe,19751976,WSH,L,40,34,5,23,7,--,"1,300","1,152",148,0.886,4.17,2129:33,0,0,0,0,0,1951,QC,CAN,--,N,24
2335,Bernie Wolfe,19761977,WSH,L,37,31,7,15,9,--,942,828,114,0.879,3.85,1776:58,1,0,1,1,2,1951,QC,CAN,--,N,25
2748,Bernie Wolfe,19771978,WSH,L,25,23,4,14,4,--,729,635,94,0.871,4.26,1324:53,0,0,0,0,0,1951,QC,CAN,--,N,26
2763,Bernie Wolfe,19781979,WSH,L,17,16,4,9,1,--,470,402,68,0.855,4.75,859:38,0,0,0,0,0,1951,QC,CAN,--,N,27
2719,Bill McKenzie,19731974,DET,L,13,12,4,4,4,--,373,330,43,0.885,3.59,719:38,1,0,0,0,2,1949,ON,CAN,--,N,24
3406,Bill McKenzie,19741975,DET,L,13,12,1,9,2,--,421,363,58,0.862,4.71,738:51,0,0,0,0,2,1949,ON,CAN,--,N,25
3449,Bill McKenzie,19751976,KCS,L,22,19,1,16,1,--,624,527,97,0.845,5.2,1118:55,0,0,1,1,4,1949,ON,CAN,--,N,26
3597,Bill McKenzie,19761977,CLR,L,5,2,0,2,1,--,101,93,8,0.921,2.41,199:13,0,0,0,0,0,1949,ON,CAN,--,N,27
2908,Bill McKenzie,19771978,CLR,L,12,10,3,6,2,--,347,305,42,0.879,3.87,651:18,0,0,0,0,2,1949,ON,CAN,--,N,28
2107,Bill McKenzie,19791980,CLR,L,26,24,9,12,3,--,606,528,78,0.871,3.49,1339:58,1,0,0,0,2,1949,ON,CAN,--,N,30
3593,Bill Oleschuk,19751976,KCS,L,1,1,0,1,0,--,52,48,4,0.923,4.0,59:57,0,0,0,0,0,1955,AB,CAN,7,N,20
3864,Bill Oleschuk,19771978,CLR,L,2,1,0,2,0,--,56,47,9,0.839,5.4,100:00,0,0,0,0,0,1955,AB,CAN,7,N,22
2457,Bill Oleschuk,19781979,CLR,L,40,35,6,19,8,--,"1,082",946,136,0.874,3.86,2115:05,1,0,0,0,10,1955,AB,CAN,7,N,23
3415,Bill Oleschuk,19791980,CLR,L,12,11,1,6,2,--,276,237,39,0.859,4.21,556:26,0,0,0,0,4,1955,AB,CAN,7,N,24
2814,Bill Ranford,19851986,BOS,L,4,4,3,1,0,--,116,106,10,0.914,2.51,239:10,0,0,0,0,0,1966,MB,CAN,3,N,19
1338,Bill Ranford,19861987,BOS,L,41,38,16,20,2,--,"1,136","1,012",124,0.891,3.34,2225:33,3,0,1,1,8,1966,MB,CAN,3,N,20
2849,Bill Ranford,19871988,EDM,L,6,5,3,0,2,--,159,143,16,0.899,2.95,325:00,0,0,2,2,0,1966,MB,CAN,3,N,21
1450,Bill Ranford,19881989,EDM,L,29,24,15,8,2,--,717,629,88,0.877,3.5,1509:09,1,0,0,0,2,1966,MB,CAN,3,N,22
677,Bill Ranford,19891990,EDM,L,56,52,24,16,9,--,"1,458","1,293",165,0.887,3.19,3107:14,1,0,2,2,18,1966,MB,CAN,3,N,23
505,Bill Ranford,19901991,EDM,L,60,59,27,27,3,--,"1,705","1,523",182,0.893,3.2,3415:29,0,0,4,4,6,1966,MB,CAN,3,N,24
509,Bill Ranford,19911992,EDM,L,67,65,27,26,10,--,"1,971","1,743",228,0.884,3.58,3821:49,1,0,3,3,4,1966,MB,CAN,3,N,25
1254,Bill Ranford,19921993,EDM,L,67,62,17,38,6,--,"2,065","1,825",240,0.884,3.84,3752:55,1,0,3,3,10,1966,MB,CAN,3,N,26
805,Bill Ranford,19931994,EDM,L,71,70,22,34,11,--,"2,325","2,089",236,0.898,3.48,4069:56,1,0,2,2,2,1966,MB,CAN,3,N,27
1447,Bill Ranford,19941995,EDM,L,40,40,15,20,3,--,"1,134","1,001",133,0.883,3.62,2202:51,2,0,2,2,2,1966,MB,CAN,3,N,28
210,Bill Ranford,19951996,"EDM,BOS",L,77,76,34,30,9,--,"2,054","1,817",237,0.885,3.29,4321:55,2,0,3,3,2,1966,MB,CAN,3,N,29
992,Bill Ranford,19961997,"BOS,WSH",L,55,55,20,23,10,--,"1,514","1,343",171,0.887,3.25,3156:47,2,0,1,1,7,1966,MB,CAN,3,N,30
2303,Bill Ranford,19971998,WSH,L,22,19,7,12,2,--,555,500,55,0.901,2.79,1183:14,0,0,1,1,0,1966,MB,CAN,3,N,31
2437,Bill Ranford,19981999,"TBL,DET",L,36,30,6,18,4,--,956,846,110,0.885,3.64,1812:06,1,0,0,0,2,1966,MB,CAN,3,N,32
2720,Bill Ranford,19992000,EDM,L,16,14,4,6,3,--,407,360,47,0.885,3.59,785:28,0,0,0,0,2,1966,MB,CAN,3,N,33
3384,Billy Smith,19711972,LAK,L,5,5,1,3,1,--,178,155,23,0.871,4.6,299:52,0,0,0,0,5,1950,ON,CAN,5,Y,21
2336,Billy Smith,19721973,NYI,L,37,33,7,24,3,--,"1,207","1,060",147,0.878,4.16,2121:01,0,0,0,0,42,1950,ON,CAN,5,Y,22
2056,Billy Smith,19731974,NYI,L,46,43,9,23,12,--,"1,300","1,166",134,0.897,3.08,2610:49,0,0,0,0,11,1950,ON,CAN,5,Y,23
892,Billy Smith,19741975,NYI,L,58,57,21,18,17,--,"1,637","1,481",156,0.905,2.78,3364:18,3,0,0,0,21,1950,ON,CAN,5,Y,24
1048,Billy Smith,19751976,NYI,L,39,39,19,10,9,--,"1,067",969,98,0.908,2.62,2248:15,3,0,1,1,10,1950,ON,CAN,5,Y,25
863,Billy Smith,19761977,NYI,L,36,36,21,8,6,--,"1,032",945,87,0.916,2.5,2086:02,2,0,1,1,12,1950,ON,CAN,5,Y,26
952,Billy Smith,19771978,NYI,L,38,37,20,8,8,--,"1,039",944,95,0.909,2.65,2150:09,2,0,0,0,35,1950,ON,CAN,5,Y,27
613,Billy Smith,19781979,NYI,L,39,39,25,8,4,--,"1,074",966,108,0.899,2.87,2256:13,1,0,2,2,39,1950,ON,CAN,5,Y,28
1423,Billy Smith,19791980,NYI,L,38,36,15,14,7,--,"1,022",918,104,0.898,2.96,2109:08,2,1,0,1,39,1950,ON,CAN,5,Y,29
815,Billy Smith,19801981,NYI,L,41,39,22,10,8,--,"1,229","1,100",129,0.895,3.28,2358:53,2,0,0,0,33,1950,ON,CAN,5,Y,30
279,Billy Smith,19811982,NYI,L,46,44,32,9,4,--,"1,303","1,170",133,0.898,2.97,2683:45,0,0,1,1,24,1950,ON,CAN,5,Y,31
1142,Billy Smith,19821983,NYI,L,41,39,18,14,7,--,"1,191","1,079",112,0.906,2.87,2337:44,1,0,0,0,42,1950,ON,CAN,5,Y,32
738,Billy Smith,19831984,NYI,L,42,38,23,13,2,--,"1,253","1,123",130,0.896,3.43,2275:57,2,0,2,2,23,1950,ON,CAN,5,Y,33
1179,Billy Smith,19841985,NYI,L,37,34,18,14,3,--,"1,099",966,133,0.879,3.83,2085:37,0,0,0,0,25,1950,ON,CAN,5,Y,34
998,Billy Smith,19851986,NYI,L,41,40,20,14,4,--,"1,202","1,059",143,0.881,3.73,2300:47,1,0,3,3,49,1950,ON,CAN,5,Y,35
1538,Billy Smith,19861987,NYI,L,40,36,14,18,5,--,"1,004",872,132,0.869,3.53,2244:40,1,0,2,2,37,1950,ON,CAN,5,Y,36
1239,Billy Smith,19871988,NYI,L,38,34,17,14,5,--,"1,061",948,113,0.893,3.22,2105:26,2,0,0,0,20,1950,ON,CAN,5,Y,37
2957,Billy Smith,19881989,NYI,L,17,13,3,11,0,--,362,308,54,0.851,4.44,730:02,0,0,0,0,8,1950,ON,CAN,5,Y,38
1061,Blaine Lacher,19941995,BOS,L,35,34,19,11,2,--,805,726,79,0.902,2.41,1965:00,4,0,1,1,4,1970,AB,CAN,--,N,24
2960,Blaine Lacher,19951996,BOS,L,12,10,3,5,2,--,284,240,44,0.845,3.94,670:45,0,0,0,0,4,1970,AB,CAN,--,N,25
3157,Bob Champoux,19731974,CGS,L,17,16,2,11,3,--,527,447,80,0.848,5.21,922:07,0,0,0,0,0,1942,QC,CAN,--,N,31
2442,Bob Essensa,19881989,WIN,L,20,18,6,8,3,--,572,504,68,0.881,3.7,1101:59,1,0,0,0,2,1965,ON,CAN,4,N,23
1164,Bob Essensa,19891990,WIN,L,36,33,18,9,5,--,984,877,107,0.891,3.15,2034:59,1,0,2,2,0,1965,ON,CAN,4,N,24
1069,Bob Essensa,19901991,WIN,L,55,47,19,24,6,--,"1,496","1,343",153,0.898,3.15,2915:58,4,0,3,3,6,1965,ON,CAN,4,N,25
876,Bob Essensa,19911992,WIN,L,47,45,21,17,6,--,"1,407","1,281",126,0.91,2.88,2627:05,5,0,2,2,2,1965,ON,CAN,4,N,26
248,Bob Essensa,19921993,WIN,L,67,64,33,26,6,--,"2,119","1,892",227,0.893,3.53,3854:44,2,0,5,5,2,1965,ON,CAN,4,N,27
752,Bob Essensa,19931994,"WIN,DET",L,69,66,23,37,8,--,"2,051","1,816",235,0.885,3.6,3914:13,2,0,2,2,6,1965,ON,CAN,4,N,28
2679,Bob Essensa,19961997,EDM,L,19,10,4,8,0,--,406,365,41,0.899,2.83,868:24,1,0,0,0,4,1965,ON,CAN,4,N,31
2378,Bob Essensa,19971998,EDM,L,16,11,6,6,1,--,404,369,35,0.913,2.54,825:29,0,0,0,0,0,1965,ON,CAN,4,N,32
1712,Bob Essensa,19981999,EDM,L,39,33,12,14,6,--,974,878,96,0.901,2.75,2090:48,0,0,1,1,0,1965,ON,CAN,4,N,33
1596,Bob Essensa,19992000,PHX,L,30,27,13,10,3,--,719,646,73,0.898,2.78,1573:05,1,0,0,0,0,1965,ON,CAN,4,N,34
1162,Bob Essensa,20002001,VAN,L,39,33,18,12,3,--,854,762,92,0.892,2.68,2058:44,1,0,0,0,4,1965,ON,CAN,4,N,35
3831,Bob Essensa,20012002,BUF,L,9,4,0,5,0,--,113,96,17,0.85,2.91,350:22,0,0,0,0,0,1965,ON,CAN,4,N,36
1234,Bob Froese,19821983,PHI,L,25,23,17,4,2,--,569,510,59,0.896,2.52,1405:11,4,0,2,2,2,1958,ON,CAN,10,N,24
446,Bob Froese,19831984,PHI,L,48,46,28,13,7,--,"1,324","1,174",150,0.887,3.15,2854:48,2,0,2,2,10,1958,ON,CAN,10,N,25
1563,Bob Froese,19841985,PHI,L,17,16,13,2,0,--,427,390,37,0.913,2.39,927:24,1,0,1,1,2,1958,ON,CAN,10,N,26
311,Bob Froese,19851986,PHI,L,51,47,31,10,3,--,"1,270","1,154",116,0.909,2.55,2724:05,5,0,1,1,8,1958,ON,CAN,10,N,27
1251,Bob Froese,19861987,"PHI,NYR",L,31,28,17,11,0,--,872,772,100,0.885,3.64,1649:05,0,0,2,2,56,1958,ON,CAN,10,N,28
2229,Bob Froese,19871988,NYR,L,25,23,8,11,3,--,695,610,85,0.878,3.54,1440:09,0,0,1,1,6,1958,ON,CAN,10,N,29
2110,Bob Froese,19881989,NYR,L,30,26,9,14,4,--,787,685,102,0.87,3.78,1621:04,1,0,1,1,6,1958,ON,CAN,10,N,30
2590,Bob Froese,19891990,NYR,L,15,14,5,7,1,--,354,309,45,0.873,3.33,811:45,0,0,0,0,0,1958,ON,CAN,10,N,31
3087,Bob Janecyk,19831984,CHI,L,8,6,2,3,1,--,237,209,28,0.882,4.1,409:45,0,0,0,0,2,1957,IL,USA,--,N,26
754,Bob Janecyk,19841985,LAK,L,52,51,23,21,8,--,"1,514","1,328",186,0.877,3.66,3052:42,2,0,2,2,29,1957,IL,USA,--,N,27
1543,Bob Janecyk,19851986,LAK,L,38,37,14,16,4,--,"1,118",956,162,0.855,4.69,2072:00,0,0,2,2,11,1957,IL,USA,--,N,28
2768,Bob Janecyk,19861987,LAK,L,7,7,4,3,0,--,222,188,34,0.847,4.87,418:42,0,0,0,0,2,1957,IL,USA,--,N,29
3409,Bob Janecyk,19871988,LAK,L,5,5,1,4,0,--,165,142,23,0.861,4.56,302:34,0,0,0,0,2,1957,IL,USA,--,N,30
3616,Bob Janecyk,19881989,LAK,L,1,0,0,0,0,--,22,20,2,0.909,4.01,29:55,0,0,0,0,0,1957,IL,USA,--,N,31
2394,Bob Johnson,19721973,STL,L,11,9,6,5,0,--,274,248,26,0.905,2.67,583:14,0,0,0,0,2,1948,MI,USA,--,N,24
2949,Bob Johnson,19741975,PIT,L,12,10,3,4,1,--,281,241,40,0.858,5.03,477:32,0,0,0,0,6,1948,MI,USA,--,N,26
2983,Bob Mason,19831984,WSH,R,2,2,2,0,0,--,46,43,3,0.935,1.5,120:00,0,0,0,0,0,1961,MN,USA,--,N,22
2194,Bob Mason,19841985,WSH,R,12,12,8,2,1,--,291,260,31,0.893,2.82,660:01,1,0,1,1,0,1961,MN,USA,--,N,23
3186,Bob Mason,19851986,WSH,R,1,0,1,0,0,--,5,5,0,1,0.0,16:19,0,0,0,0,0,1961,MN,USA,--,N,24
