,Player,Country,Draft Position,1st Season,HOF,GP,W,Career Save %,GAA
93,Rick St. Croix,CAN,72.0,19771978,N,131,49,0.877875,3.57875
94,Garret Sparks,USA,190.0,20152016,N,38,14,0.884,3.516666666666667
96,Ilya Sorokin,RUS,78.0,20202021,N,22,13,0.918,2.17
97,Doug Soetaert,CAN,30.0,19751976,N,284,110,0.8689166666666667,3.9983333333333335
98,Tommy Soderstrom,SWE,214.0,19921993,N,156,45,0.884,2.882
99,Garth Snow,USA,114.0,19931994,N,368,135,0.8918333333333334,3.09
101,Mike Smith,CAN,161.0,20062007,N,642,283,0.9104,2.679333333333333
103,Gary Smith,CAN,,19651966,N,531,173,0.8926428571428572,3.460714285714286
104,Billy Smith,CAN,59.0,19711972,Y,679,305,0.8916111111111111,3.306666666666666
105,Al Smith,CAN,,19651966,N,231,73,0.8817999999999999,3.501
106,Peter Skudra,LVA,,19971998,N,146,51,0.8951666666666668,2.7016666666666667
107,Warren Skorodenski,CAN,,19811982,N,35,12,0.849,4.794
112,Gary Simmons,CAN,,19741975,N,107,30,0.8835,3.6425
113,Don Simmons,CAN,,19561957,N,249,100,0.904,2.889090909090909
115,Peter Sidorkiewicz,POL,91.0,19871988,N,246,79,0.870625,3.68375
117,Mikhail Shtalenkov,RUS,108.0,19931994,N,190,62,0.8994285714285715,2.9257142857142857
118,Steve Shields,CAN,101.0,19951996,N,246,80,0.8975,2.939
119,Igor Shesterkin,RUS,118.0,20192020,N,47,26,0.924,2.5700000000000003
121,Richard Sevigny,CAN,124.0,19791980,N,176,80,0.875,3.4375
123,Ben Scrivens,CAN,,20112012,N,144,47,0.9072,2.92
125,Ron Scott,CAN,,19831984,N,28,8,0.8550000000000001,4.0280000000000005
127,Corey Schwab,CAN,200.0,19951996,N,147,42,0.90475,2.50875
128,Cory Schneider,USA,26.0,20082009,N,409,170,0.9133333333333334,2.6841666666666666
132,Terry Sawchuk,CAN,,19491950,Y,964,441,0.906,2.6025
133,Philippe Sauve,USA,38.0,20002001,N,32,10,0.868,4.2700000000000005
134,Bob Sauve,CAN,17.0,19761977,N,420,182,0.8726923076923078,3.4784615384615383
136,Juuse Saros,FIN,99.0,20152016,N,155,76,0.9123333333333332,2.583333333333333
138,Curtis Sanford,CAN,,20022003,N,144,47,0.9038333333333334,2.6366666666666667
140,Ilya Samsonov,RUS,22.0,20192020,N,45,29,0.9075,2.62
141,Tommy Salo,SWE,118.0,19941995,N,526,210,0.9005000000000001,2.734
143,Dany Sabourin,CAN,108.0,20022003,N,57,18,0.8539999999999999,4.694
145,Wayne Rutledge,CAN,,19671968,N,82,28,0.8903333333333334,3.62
146,Jim Rutherford,CAN,10.0,19701971,N,457,151,0.8676923076923077,4.144615384615385
149,Patrick Roy,CAN,51.0,19841985,Y,1029,551,0.9136842105263158,2.438421052631579
150,Dominic Roussel,CAN,63.0,19911992,N,205,77,0.89575,2.9875
152,Roberto Romano,CAN,,19821983,N,126,46,0.8791666666666668,4.126666666666666
153,Dwayne Roloson,CAN,,19961997,N,606,227,0.9057857142857144,2.757142857142857
154,Al Rollins,CAN,,19491950,N,428,139,0.912,2.79125
156,Fern Rivard,CAN,,19681969,N,55,9,0.88,4.03
157,David Rittich,CZE,,20162017,N,134,64,0.9046,2.872
158,Pekka Rinne,FIN,258.0,20052006,N,683,369,0.9192666666666668,2.416
160,Pat Riggin,CAN,33.0,19791980,N,350,153,0.8795555555555556,3.4433333333333334
161,Dennis Riggin,CAN,,19591960,N,18,7,0.8865000000000001,3.17
162,Vincent Riendeau,CAN,,19871988,N,184,85,0.867125,3.85875
163,Curt Ridley,CAN,28.0,19741975,N,104,27,0.8656666666666667,4.203333333333333
164,Mike Richter,USA,28.0,19891990,N,666,301,0.9026428571428572,2.9457142857142857
165,Terrance Richardson,CAN,11.0,19731974,N,20,3,0.8022,6.446000000000001
166,Nick Ricci,CAN,94.0,19791980,N,19,7,0.84775,4.82
